genus,age,latitude
crepidula,Pleistocene,29.8759
crepidula,Pleistocene,29.8759
noetia,Pleistocene,29.8759
mulinia,Pleistocene,29.8759
crepidula,Pleistocene,29.8759
crepidula,Pleistocene,29.8759
mulinia,Pleistocene,29.8759
mulinia,Pleistocene,28.482159
crepidula,Pleistocene,28.482159
noetia,Pleistocene,28.482159
crepidula,Pleistocene,28.482159
crepidula,Pleistocene,28.482159
mulinia,Pleistocene,28.482159
crepidula,Pleistocene,28.482159
crepidula,Pleistocene,28.482159
mulinia,Pleistocene,28.482159
mulinia,Pleistocene,28.482159
crepidula,Pleistocene,28.482159
crepidula,Pleistocene,28.482159
noetia,Pleistocene,28.482159
noetia,Pleistocene,28.398101
crepidula,Pleistocene,28.398101
crepidula,Pleistocene,28.398101
spisula,Pleistocene,28.398101
chama,Pleistocene,28.398101
noetia,Pleistocene,28.398101
parvilucina,Pleistocene,28.398101
modiolus,Pleistocene,28.398101
mulinia,Pleistocene,28.398101
crepidula,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
crepidula,Pleistocene,29.481431
crepidula,Pleistocene,26.750024
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,28.04064
crepidula,Pleistocene,28.04064
crepidula,Pleistocene,28.04064
mulinia,Pleistocene,28.04064
mulinia,Pleistocene,27.637619
crepidula,Pleistocene,27.637619
noetia,Pleistocene,27.637619
noetia,Pleistocene,27.637619
noetia,Pleistocene,27.637619
mulinia,Pleistocene,29.502373
spisula,Pleistocene,29.502373
noetia,Pleistocene,29.502373
crepidula,Pleistocene,29.502373
crepidula,Pleistocene,29.502373
crepidula,Pleistocene,29.502373
noetia,Pleistocene,29.502373
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
chama,Pleistocene,26.733905
noetia,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
mulinia,Pleistocene,26.733905
noetia,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
mulinia,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
mulinia,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
parvilucina,Pleistocene,28.04064
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
mulinia,Pleistocene,26.733905
mulinia,Pleistocene,26.733905
noetia,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
chama,Pleistocene,26.733905
chama,Pleistocene,26.733905
cyclocardia,Pleistocene,26.733905
noetia,Pleistocene,26.733905
chama,Pleistocene,26.733905
mulinia,Pleistocene,26.733905
chama,Pleistocene,26.733905
crepidula,Pleistocene,26.733905
chama,Pleistocene,26.733905
parvilucina,Pleistocene,26.733905
mulinia,Pleistocene,26.733905
crepidula,Pleistocene,27.7009
noetia,Pleistocene,27.7009
crepidula,Pleistocene,26.75389
mulinia,Pleistocene,26.75389
crepidula,Pleistocene,26.75389
spisula,Pleistocene,26.75389
chama,Pleistocene,26.659514
modiolus,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
noetia,Pleistocene,26.659514
chama,Pleistocene,26.659514
parvilucina,Pleistocene,26.659514
chama,Pleistocene,26.659514
crepidula,Pleistocene,26.659514
mulinia,Pleistocene,26.659514
noetia,Pleistocene,27.7009
crepidula,Pleistocene,27.7009
parvilucina,Pleistocene,27.7009
