genus,age,latitude
crepidula,Pliocene,30.391421
astarte,Pliocene,27.366642
noetia,Pliocene,27.366642
noetia,Pliocene,27.366642
crepidula,Pliocene,27.366642
crepidula,Pliocene,27.366642
crepidula,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
noetia,Pliocene,27.366642
astarte,Pliocene,27.366642
chama,Pliocene,27.366642
chesapecten,Pliocene,27.366642
mulinia,Pliocene,27.366642
crepidula,Pliocene,27.366642
crepidula,Pliocene,27.366642
crepidula,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
noetia,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
spisula,Pliocene,37.0602
crepidula,Pliocene,37.0602
mulinia,Pliocene,27.366642
crepidula,Pliocene,27.375123
crepidula,Pliocene,34.878384
cyclocardia,Pliocene,34.878384
astarte,Pliocene,34.878384
mulinia,Pliocene,34.878384
parvilucina,Pliocene,30.391421
crepidula,Pliocene,25.725979
chama,Pliocene,25.725979
crepidula,Pliocene,25.725979
crepidula,Pliocene,25.725979
crepidula,Pliocene,25.725979
chama,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
parvilucina,Pliocene,27.366642
mulinia,Pliocene,27.366642
noetia,Pliocene,27.3583
parvilucina,Pliocene,27.3583
chama,Pliocene,27.3583
crepidula,Pliocene,27.3583
crepidula,Pliocene,27.3583
chama,Pliocene,27.3583
mulinia,Pliocene,27.3583
mulinia,Pliocene,27.3583
chama,Pliocene,27.3583
chama,Pliocene,27.3583
mulinia,Pliocene,27.233526
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
crepidula,Pliocene,27.366642
mulinia,Pliocene,27.366642
chesapecten,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
parvilucina,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
astarte,Pliocene,37.229029
cyclocardia,Pliocene,37.229029
noetia,Pliocene,37.229029
chama,Pliocene,37.229029
chesapecten,Pliocene,37.229029
mulinia,Pliocene,37.229029
astarte,Pliocene,37.229029
crepidula,Pliocene,37.229029
chama,Pliocene,37.229029
chesapecten,Pliocene,26.878706
chama,Pliocene,25.7655
chama,Pliocene,25.7655
chesapecten,Pliocene,27.043546
chesapecten,Pliocene,27.043546
crepidula,Pliocene,30.410829
crepidula,Pliocene,27.3125
crepidula,Pliocene,27.366642
parvilucina,Pliocene,26.9651
crepidula,Pliocene,26.9651
parvilucina,Pliocene,27.361199
crepidula,Pliocene,27.361199
chama,Pliocene,27.361199
crepidula,Pliocene,27.361199
crepidula,Pliocene,27.361199
crepidula,Pliocene,27.361199
crepidula,Pliocene,27.361199
crepidula,Pliocene,27.361199
crepidula,Pliocene,27.361199
crepidula,Pliocene,27.361199
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
astarte,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
astarte,Pliocene,27.366642
crepidula,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
mulinia,Pliocene,27.366642
crepidula,Pliocene,27.366642
